Company Name,Annual Revenue (US$ m)
AbbVie Farmaceutica Ltda,
AbbVie Participacoes Ltda,
AbbVie Pharmaceuticals SCA,
AbbVie Productos Farmaceuticos Limitada,
AbbVie SA,
AbbVie SAS,
Abdali Hospital,
Abdelmalek Essaadi University,
Abderrahmane Mami Hospital,
Abdi Ibrahim Remede Pharma SPA,
Abdou Moumouni University,
Abdulla Fouad Holding Co,
Abdulrehman Algosaibi GTB,
ABEX Pharmaceutica (Pty) Ltd,
Abia State Ministry of Health,
Abia State University,
Abian Pharmed Co,
Abic Ltd,
Abic Marketing Ltd,
Abidi Pharmaceutical Co,
Abir Therapeutics Ltd,
Abirisk,
Abital Pharma Pipelines Ltd,
Aboreyhan Co,
Abou Qir General Hospital,
Aboujaoude Hospital,
Abouraihan Pharmaceutical Co,
Abu Dhabi Health Services Co,
Abu Dhabi Stem Cells Center,
Abura Dunkwa District Hospital,
Aburaihan Pharmaceutical Company,
Abzil Industria e Comercio Ltda.,
Academic Center for Education Culture and Research,
"Academic Center for Education, Culture and Research",
Academic Centre of Excellence for Genomics of Infectious Diseases,
Academic Hospital Paramaribo,
Accelerated Evolution Biotechnologies Ltd,
Accellta Ltd,
Access Alliance Limited,
Accord Farmaceutica Ltda,
Accord Healthcare SA,
ACDIMA BioCenter for Bioequivalence and Pharmaceutical Studies,
Acdima International Trading,
Acerus Pharmaceuticals Inc,
Ache Laboratorios Farmaceuticos SA,
Achilles Cruz Clinic,
Aclin Laboratories Clinico,
Aclires International Ltd,
Aclisa,
ACM Laboratoire Jordan,
Acromax Dominicana SA,
Actavis Farmaceutica LTDA,
Actavis Pharma Pty Ltd,
Acte Co,
Actelion Israel Ltd,
Actelion Pharmaceuticals do Brasil Ltda,
Actero Pharma,
Activa Cro,
Active Pharmaceutica Ltda,
ActiViews Ltd. (Inactive),
Activo Health,
Actor Pharma (Pty) Ltd,
Actoverco,
ACTS do Brasil Ltda,
Acuity LTD.,
ACUPHARM (Pty) Ltd,
Adam International Hospital,
Adam International Hospital IVF Center,
Adama Science and Technology University,
Adapt Produtos Oftalmologicos Ltda,
Adaptive TechSoft,
Adar Biotech LTD,
Adco Drug Co (Pty) Ltd,
Adcock Ingram Critical Care (Pty) Ltd,
Adcock Ingram Healthcare (Pty) Ltd,
Addclin Research (Pty) Ltd (Inactive),
Addis Ababa University,
Addis Pharmaceutical Factory SC,
Adicet Bio Israel Ltd,
Aditya Acquisition Company Ltd,
Administrative Department of Science Technology and Innovation,
Adolfo Lutz Institute,
Adonis Gol Darou Co,
Adonis Kish Pharmaceutical Co,
ADS Pharma,
Advanced Cure Diagnostic Center,
Advanced Dialysis Methods Ltd.,
Advanced Inhalation Therapies (AIT) Ltd,
Advanced Research Center,
ADVANSYS Technologies of Life Ltd,
Adventist Hospital in Belem,
Adventist University of Plata,
Adwia Pharmaceuticals Co,
AEB Argentina SA,
Aeb Bioquimica Latino Americana Sa,
Aegerion Brasil Comercio E Importacao De Medicamentos LTDA,
Aespira Ltd.,
Aferrix Ltd.,
Afford SA,
AFIP Research Incentive Fund Association,
Afrab-Chem Ltd,
Afri Medical,
Africa Academy for Public Health,
Africa Centre For Health and Population Studies,
Africa Centre of Excellence in Phytomedicine Research and Development,
Africa Clinical Research Management,
Africa Health Care Pty Ltd,
Africa Health Research Institute,
Africa International College,
Africa Middle East Cancer Intergroup,
African Academy of Sciences,
African AIDS Research Network,
African Clinical Research Organisation,
African Collaborating Centre for Pharmacovigilance,
African Field Epidemiology Network Ltd,
African Global Pharma Ghana Ltd,
African Institute of Biomedical Science and Technology,
African Malaria Network Trust,
African Medical and Research Foundation,
African Population & Health Research Center,
African Research Universities Alliance,
African Solidarity Association,
AfricSante,
Afrigen Biologics Pty Ltd,
Afrika Biopharma Investments (Pty) Ltd,
Afriplex (Pty) Ltd,
Afrox Healthcare Ltd,
Afshar Hospital,
Afzalipour Hospital,
Aga Khan University Hospital,
Agadez University,
AGAM Biological Products,
Agamenon Magalhaes Hospital,
AGAPLASTIC Ind. Com. Ltda,
Agencia de Regulacion Sanitaria de Honduras,
Agencia Nacional de Investigacion e Innovacion,
Agencia Nacional de Promocion Cientifica y Tecnologica,
Agfa HealthCare Argentina SA,
Aghraas-Cigalah,
Agiad Psychiatry Hospital,
Agogo Presbyterian Hospital,
Agricultural Research Organization - the Volcani Center,
AH Medical Assistance,
AHAR Pharma,
Ahmadi Hospital,
Ahmadu Bello University,
Ahmadu Bello University Teaching Hospital,
Ahmed Al Kadi Private Hospital,
Ahmed Elgazzar hospital,
Ahmed Maher Teaching Hospital,
Ahram Canadian University,
Ahran Tejarat Co,
Ahvaz Jundishapur University of Medical Sciences,
AIDS Care Research in Africa,
Ain Shams Maternity Hospital,
Ain Shams University,
Ain Shams University Faculty of Medicine,
Ain Shams University Hospitals,
Ain Wazein Hospital,
Air Force Specialized Hospital,
Air Separation,
Airela Industria Farmaceutica Ltda,
AJA Pharmaceutical Industries Company Ltd,
Aja University of Medical Sciences,
Ajanta Pharma (Mauritius) Ltd,
Ajanta Pharma Nigeria Ltd,
Ajman University,
AK Life Sciences Ltd,
Akacia Healthcare Pty Ltd,
Akam Tejarat Fartak Farasoo,
Akanu Ibiam Federal Polytechnic,
Akbarieh Co,
Akita Clinic,
Akromed Products (Pty) Ltd,
Akros Inc,
Akulu Marchon,
Al - Neelain University,
Al Abbar Laboratories for Research & Medical Analysis,
Al Ain Hospital,
Al Ain University of Science and Technology,
Al al-Bayt University,
Al Bairouni University Hospital,
Al Baraka Fertility Hospital,
Al Borg Laboratory SAE,
Al Corniche Hospital,
Al Dar Al Arabia Pharmaceutical Manufacturing Company,
Al Faisaliah Medical Systems,
Al Garhoud Private Hospital,
Al Hadi laboratory and medical center,
Al Hammadi Hospitals,
Al Hayat National Hospital,
Al Hayat Pharmaceuticals,
Al Hilal Hospital Company BSC,
Al Imam Ali Hospital,
Al Jalila Children's Specialty Hospital,
Al Jedaani Group of Hospitals,
Al Khaleej Lab,
Al Khalidi Hospital & Medical Center,
Al Khayal Medical Centre,
Al Kindi Specialised Hospital,
Al Madina Specialist General Hospital,
Al Maidan Dental Clinic Co. KSCC,
Al Makassed Hospital,
Al Mashfa Medical Center,
Al Mokhtabar Laboratories,
Al Mufid Trading Co LLC,
Al Noor Specialist Hospital,
AL Nour Eye Hospital,
Al Qimmah Clinics,
Al Rashed Allergy Center,
Al Rasheed University College,
Al Razi Pharma Industry,
Al Safwa Hospital,
Al Salam International Hospital,
Al Salam Medical Group,
Al Seef Hospital,
Al Shafi LLC,
Al Zahra Hospital Dubai,
Al Zahra Private Hospital,
Al Zahraa Hospital,
Al-Ahli Hospital,
Al-Ahliyya Amman University,
Al-Amal Maternity Hospital,
Al-Azhar university,
Al-Azhar University Faculty of Medicine for Girls,
Al-Balqa Applied University,
Al-Elmia Pharma Co,
Al-Essa Group,
Al-Essra Hospital,
Al-Fath Eye Hospital,
Al-Gadarif University,
Al-Hawash Private University,
Al-Imam Mohammad Ibn Saud Islamic University,
Al-Iraqia University,
Al-Kindi Pharmaceutical Industries,
Al-Kindy College of Medicine,
Al-Mowasat Healthcare Company (K.S.C.C) (Inactive),
AL-Mugdh Pharma,
Al-Mustansiriya University,
Al-Nahrain University,
AL-Najaf Dental Specialized Center,
AL-Nozha Medical Est,
Al-Quds University,
Al-Rafidian University College,
Al-Rain Co,
Al-Sader Teaching Hospital,
Al-Salehiya Medical Estableshment,
Al-Wajir Pharmaceutical LLC,
AL-Zahraa University Hospital,
Al-Zaytoonah University of Jordan,
Alas Medical Center,
Albaath University,
AlBanoon Fertility Center,
Alberto Rassi Hospital,
Alborz Bulk Co,
Alborz Darou pharmaceutical company,
Alborz Nanomed Tech Co,
Alborz University of Medical Sciences,
Alborzi Clinical Microbiology Research Center,
Alcon Laboratories (South Africa) (Pty)??Ltd,
Alcon Laboratorios Argentina SA,
Alcon Laboratorios Chile Ltda,
Alcon Pharmaceutical CA,
Alellyx SA,
Alembic Mami SpA,
Aleonat Laboratories,
Aleppo Pharmaceutical Industries LLC,
Aleppo University,
Alere Holdings Bermuda Limited,
Alergo Dermatologia Integrada,
Alergo Pharma Srl,
Alert Hospital,
Alex Ekwueme Federal University Teaching Hospital,
Alexander Fleming Institute,
Alexandria Co,
Alexandria Faculty of Medicine,
Alexandria Regional Centre for Women?€?s Health and Development,
Alexandria University,
Alexandria University Hospital,
Alexion Brasil,
Alexion Pharma Argentina SRL,
Alexion Pharma Israel Ltd,
Alfa Rhythm Ltd,
Alfaisal University,
Alfarabi Colleges,
Alfardan Medical with Northwestern Medicine,
Alfasigma Maghreb Sarl,
Algatechnologies Ltd,
Algen Biopharmaceuticals Inc,
Algenis,
Algorithm SAL,
Alhada Hospital for Armed Forces,
Alhavi Pharmacy Co,
Alhokama Eye Specialist Center,
Alhyatt Heart And Vascular Center,
Ali Abdulwahab Sons & Co WLL,
Aliada Centro Oncologia,
Alis Co,
Aliwal Shoal Medical & Clinical Trial Centre,
Aljaber Therapeutics,
Aljazeera Hospital,
Alkan Pharma,
Alkem Lab's Nigeria Ltd,
Alkem Laboratories Pty Ltd,
Alko do Brasil,
All Chemistry Do Brasil Ltda,
Allameh Bohlool Gonabadi Hospital,
Allameh Tabatabai University,
Allergan Israel Ltd,
Allergan Pharmaceuticals (Proprietary) Ltd,
Allergan Productos Farmaceuticos SA,
Allergan Produtos Farmaceuticos Ltda,
Allergene Ltd. (Inactive),
Allergic Immuno,
Allergisa Pesquisa Dermato-Cosmetica LTDA,
Alliance Institute of Oncology,
Alliance of Assisted Fertilization Laboratories SA,
Alliance Pharma (Pty) Ltd,
Allied Against Cancer,
Allied Pharmaceuticals Ltd,
Allosterix Ltd,
Allplas Embalagens Ltda,
Almana General Hospitals Group,
Almaza Military Fever Hospital,
Almirante Nef Naval Hospital,
Almughtaribeen University,
Alomone Labs Ltd,
Alpha Medical Manufacturers Limited,
Alpha Omega Engineering,
Alpha Pharm,
Alpha-Bio Tec Ltd,
Alphacor Cardiology Clinic and Diagnostic,
Alpharma (Bermuda) Ltd,
Alpharma (Luxembourg) SARL y Compania Ltda,
Alpharma de Argentina SRL,
Alpharma do Brasil Ltda,
Alpharma Holdings (Barbados) SRL,
ALPI Vocation to Rehabilitate,
Alsalam Hospital,
Also Brasil Curso Na Area De Saude Ltda,
Altana Pharma Ltda,
Altea Pharmaceutical SA,
Althaia s/a,
Althea Clinical,
Althea Pharmaceuticals,
Althera Medical Ltd,
Altian Pharma Gruppe de CA,
Altman Health,
Alufuq Scientific Bureau,
Alvit LCS Pharma Ltd,
Aly Participacoes Ltda,
Alyn Hospital,
ALYN Pediatric and Adolescent Rehabilitation Center,
Alzahra Eye Hospital,
Alzahra Hospital,
Alzahra University,
Amalgamated Pharmaceuticals LTD,
Amana Healthcare,
Amanuel Mental Hospital,
Amarin Technologies SA,
Amayeza Abantu Bio-Medical (Pty) Ltd,
Amazon Rainforest Civil Association,
Amazon Tropical Medicine Foundation,
Amazonas Health Surveillance Foundation,
Amazonas Interfederative Cooperation,
Amazonas State University,
Ambrose Alli University,
Ambulatorio de Bipolaridade,
Ambulatory Child Health Public Network,
Ambulatory HealthCare Services,
AMC Dubai,
Amdipharm Mercury Middle East FZ-LLC,
AMEBPBA Clinic,
Amecor Hospital,
Amega Biotech,
Amelio Marques Clinic,
American Heart & Vascular Center,
American Hospital Dubai,
American Mission Hospital,
American University in Cairo,
American University of Antigua College of Medicine,
American University of Beirut,
American University of Beirut Medical Center,
American University of Madaba,
American University of Sharjah,
American Wellness Center,
Americare Group,
Americas integrated oncology center,
AMFA Vitrum SA,
Amgen Brazil,
Amgen Holding No 1 Ltd,
Amgen Technology Ltd,
Amhara Public Health Institute,
Amhara Regional Health Bureau,
AMI Technologies Ltd,
Amil Assistencia Medica Internacional SA,
Amil Participacoes SA,
AMILCAR International,
Amin Pharmaceutical Co,
Aminolab Ltd,
Aminu Kano Teaching Hospital,
Amir Al-Momenin Hospital,
Amir Alam Hospital,
Amiri Hospital,
Amirkabir University of Technology,
Amit Technology Science & Medicine Ltd,
AmitisGen Med Tech Group,
Amman Hospital,
Amman Pharmaceutical Industries Co,
Amnis Therapeutics Ltd,
AMO - Multidisciplinary Oncology,
Amorphical Ltd,
Amoun Pharmaceutical Company SAE,
Amparo Maternal Maternidade Social,
Amparo Saude - Largo da Batata,
Ampath Kenya,
Ampath Oncology & Hematology,
Ampath Trust,
Ampollas y Frascos Venezolanos CA,
Amr Khalil Orthopaedic Surgery Center,
Amref Health Africa,
Amreyah Pharmaceuticals Company,
Amriya Pharmaceutical Industries,
Amudat Hospital,
Amygate Healthcare,
An-Najah National University,
Ana Rosa Saude Group,
Analyst Research Laboratories Ltd,
ANALYTE WORKS LTD.,
Anbar University,
Anchiano Therapeutics Israel Ltd,
Anchor Biotechnologies,
Andalusia Medical Tourism,
Andes Biotechnologies,
Andes Health Concepcion Clinic,
Andes Health Foundation,
Andes University,
Andisheh Salamat Sabalan Medicinal Plants Co,
Andre Luiz Malavasi Longo de Oliveira,
Andres Bello National University,
Andrews Memorial Hospital Ltd,
Androfert,
Andromeda Biotech Ltd,
Andros Recife Clinic,
Anesthesia Clinic of Salvador,
Anesthesiology Research Center,
Angelita and Joaquim Gama Institute,
Angelus Industria de Produtos Odontologicos S/A,
Angiocor Blumenau,
Angiografia de Occidente SA,
Angioskope Clinic,
Angioslide Ltd,
Angitec,
Anglo American Clinic,
Anglopharma SA,
Anhanguera University,
Anhanguera-Uniderp University,
Anima Biotech Ltd,
Anis Rassi Hospital,
Anlit Ltd,
Anova Health Institute,
ANRS Research Center,
ANS Pharma,
ANTAEA Medical Services Egypt LLC,
ANTAEA Medical Services Jordan Ltd,
Antenatal primary care clinic,
Antenor Orrego Private University,
Anti-Doping Laboratory Qatar,
Antibioticos Do Brasil Ltda,
Anton de Kom University of Suriname,
Antonio Narino University,
AOSIS (Pty) Ltd,
APC,
APEX Pharma SAE,
APIN Public Health Initiatives Ltd,
Apis Flora Industrial e Comercial Ltda,
APMD Medical & Dental Disinfectant,
Aposense Ltd,
AposTherapy Research Group,
Apotex SA (Pty) Ltd,
Applied Science Private University,
Applied Scientific University of Jihad,
Apsen Farmaceutica SA,
Aqua Bounty Farms Chile Limitada,
Arab Center for Pharmaceutical and Chemical Industries Co,
Arab Company for Drug Industries & Medical Appliances,
Arab Contractors Medical Center SAE,
Arab Federation Of Psychiatrists,
Arab International University,
Arab Medical Association Against Cancer,
Arab Pharmaceutical Industry Consulting Company,
Arab Pharmaceutical Manufacturing PSC,
Arab Pharmaceuticals Company,
Arabian Gulf University,
Arabian Medical Products Manufacturing Company,
Arabic Association for the Study of Diabetes and Metabolism,
Arabio Co,
Arabkir Medical Center,
ARAC Healthcare Company Ltd,
Aracell Zist Daru,
Arad Hospital,
AraGen Biotechnology Ltd,
Arak Amir kabir hospital,
Arak University,
Arak University of Medical Sciences,
Aram Medical Complex,
Arama Laboratorios y Cia Ltda,
Aramis Pharmed Pharmaceuticals,
Arash Women Hospital,
Araucaria Foundation,
Araucaria Hospital of Londrina,
Araujo Jorge Hospital,
Arava Bio-Tech Ltd,
Araxa Planalto University Center,
Arba Minch University,
ARCAD-SIDA,
Archaezyme Ltd,
Arcos,
Arctic Pharmaceuticals Pty Ltd,
Ardabil University of Medical Sciences,
Area basica of the Salut Rio de Janeiro,
Arena Life Science Co,
Arese Pharma Ltda,
Argentina Heart Foundation,
Argentina Hospital Privado de Cordoba SA,
Argentina League to Fight Cancer,
Argentina Neuromodulation Society,
Argentina Society of Gerontology and Geriatrics,
Argentine Association of Allergy and Clinical Immunology,
Argentine Group of Clinical Research in Oncology,
Argentine Institute for Neurological Research,
Argentine Medical Association,
Argentine Society of Rheumatology,
Argentinian College of Venous and Lymphatic Surgery,
Aria Maternity Hospital,
Aria Pharmaceuticals Co,
Ariel University,
Ariel University Center of Samaria,
Arina Hayat Danesh Co,
Ariquest Ltd,
Ariste Health (Pty) Ltd,
Ariston Industrias Quimicas e Farmaceuticas Ltda,
Arkin Bio Ventures,
Armagan Salamat Zagros Yasuj Co,
Armaghan Sabz Araz Teb Pharmaceutical Co,
Armaghane tabiat Company,
Armauer Hansen Research Institute,
Armed Forces ESPE University,
Armed Forces Hospitals Southern Region,
Army Institute of Biology,
Arnaldo Milian Castro University Hospital,
Arriaran Foundation,
Arrow Pharma SA (Pty) Ltd,
Arruda Dermatology,
Artesh University of Medical Sciences,
Arthur Davidson Children's Hospital,
Artpharma,
Arturo Prat University,
Arwan Pharmaceutical Industries,
Arwyp Medical Centre,
Arya Tina Gene Company,
Aryan Salamat Pharmaceutical Co,
Aryan Salamat Sina,
Aryogen Pharmed,
Aryogen Pharmed Co,
As-Salam International Hospital,
ASAJU Medical Clinic,
Asal Daroo Kish Pharmaceutical Co,
Asal Shahdineh Golha Co,
Ascend Laboratories Ltd,
Aseer Hospital,
Ashanti Mampong Municipal Hospital,
AshbalChimi,
Asia Pharmaceutical Industries,
Asmara College of Health Sciences,
Asociacion Argentina de Tenis,
Asociacion Benefica PRISMA,
Asociacion Colombiana de Infectologia,
Asociacion Latinoamericana de Torax,
Asociacion Medica de Los Andes,
Asoclinic Immunology Ltda,
Asoclinic Laboratorio de Inmunologia,
Aspen Global Inc,
Aspen International Distribution (Pty) Ltd (Inactive),
Aspen Pharma Industria Farmaceutica Ltda,
Aspen Pharmacare Holdings Limited,
Aspen Pharmacare Ltd,
Aspetar,
Aspireo Pharmaceuticals Ltd,
Assaf Harofeh Medical Center,
Asser Central General Hospital,
Assistance Center of the Medical Union of Uruguay,
Assiut University,
Associacao Brasil Parkinson,
Associacao Brasileira de Psiquiatria,
Associacao Brasileira dos Thalassaemicos,
Associacao de Combate ao Cancer em Goias,
Associacao Evangelica Beneficente Espirito Santense,
Associacao Fundo de Incentivo a Pesquisa,
Associacao Fundo de Incentivo a Psicofarmcologia,
Associated Anesthesiologists,
Association for Psychopharmacological Research,
Association for the Fight against Systemic Diseases,
Association for the Prevention and Study of HIV/AIDS,
Association of Friends of Hematology HCPA,
Association Rwandaise des Diabetiques,
Assuncao Hospital,
Assuta Hospital Systems,
Assuta Medical Center,
Assuta Medical Tourism Center,
Astellas Farma Brazil import and distribution of medicines Ltda,
Astellas Farma Colombia SAS,
Astellas Pharma (Proprietary) Ltd,
Astellas Pharma DMCC,
Aster Medical Centre,
Aster Pharmacies Group LLC,
Astorga Oncology Clinic,
Astra Chemical (Pvt) Ltd,
AstraZeneca (Israel) Ltd,
AstraZeneca Al Djazair,
AstraZeneca Argentina SA,
AstraZeneca do Brasil Ltda,
AstraZeneca Pharmaceuticals (Pty) Ltd,
Asuncion Hospital,
Aswan University,
Aswan University Hospital,
Asyah Technologies Ltd,
AT Cardio Clinic,
Atara Therapeutics Ltd,
Ataulpho Paiva Foundation,
ATCGen,
Ateco Pharma Egypt,
Atenuada,
Athena Cardionet Ltd,
Atieh Hospital,
Atipharmed Pharmaceutical Co,
Ativus Farmaceutica Ltda,
Atiya Pharmaceutical New Technologies,
Atlas Farmaceutica SA,
Atlas Medical LLC,
Atopic Dermatitis and Vaccinia Network,
Atox Bio Ltd,
Aug Pharma System,
Auguste-Viktoria Hospital,
Auramedi Farmaceutica Ltda,
Aurex Generics Ltd,
Aurobindo Pharma (Pty) Ltd,
Aurobindo Pharma Colombia SAS,
Aurobindo Pharma Industria Pharmaceutica LTDA,
Austell Laboratories (Pty) Ltd,
Austen Farmaceutica Ltda,
Austral Medical Center,
Austral University,
Austral University Hospital,
Austral University of Chile,
Autem Medical,
Auto Suture do Brasil Ltda,
Autonomous Service Antonio Patricio de Alcala University Hospital,
Autonomous University Center of Brazil,
Autonomous University Foundation of the Americas,
Autonomous University Manizales,
Autonomous University of Occident,
Autonomous University of Santo Domingo,
Avacare Health,
Avallon Dermatology and Ophthalmology,
Avalon Pharmaceutical SA,
Avance Biotechnologies Chile,
Avanti Instituto De Pesquisa Clinica Ltda,
Avanzcare,
Ave Pulmo - Emphysema Foundation,
Avellaneda Hospital Tucuman,
Avena Sina Pharmaceutical Co,
Aventis Pharma (Pty) Ltd,
Avenue Healthcare Hospital 2,
Avenue Healthcare Ltd,
Avenzor for Pharmaceutical Industries,
AVERT Laboratorios Ltda,
Avicenna Infertility Clinic,
Avicenna Research Institute,
Avicenna University Jihad Infertility Center,
Avid Brands SA (Pty) Ltd,
Avigeh Tejarat Sepehr Co,
Aviv Dan Medical Ltd,
Avraham Pharmaceuticals Ltd,
Avsa Farmaceutica SAC,
Axis Biotec Brasil,
Axis Neurosciences,
AxisMed Gestao Preventiva da Saude,
Axonova Ltd,
Ayana Pharma Ltd,
Ayatollah Boroujerdi University,
Ayatollah Kashani Hospital,
Ayatollah Taleghani Hospital,
Ayrton Drugs Manufacturing Company Ltd,
AYUB Medical Clinic,
Ayudas Diagnosticas Sura SAS,
Azad University of Shirvan,
AzarGen Biotechnologies (Pty) Ltd,
Azidus Brasil,
Azidus Brasil Pesquisa Cientifica e Desenvolvimento Ltda,
Aziza Othmana University Hospital,
Azura Ophthalmics Ltd,
B Mcgillewie Pty Ltd,
B-Side Pharma Ltd,
B-Well Medical Supplies (Pty) Ltd,
B. Braun Medical (Pty) Ltd,
B.A. Psychiatric Research Center,
B.I.R.D. (Israel-U.S. Binational Industrial Research and Development),
Babcock University,
Babel Drug Store,
Babol University of Medical Sciences,
Baby Center Medicina Reproductive Clinic,
Bactochem Ltd,
Bader Sultan & Brothers Co WLL,
Badji Mokhtar University,
Badr Al Samaa Group of Hospitals and Medical Centres,
Badr University in Cairo,
Baghdad Health Directorate,
Baghdad Medical City,
Bagheiat-Allah University of Medical Sciences,
Baghiatallah University of Medical Sciences,
Bahia Adventist University,
Bahia State University,
Bahiafarma,
Bahir Dar Regional Health Research Laboratory Center,
Bahir Dar University,
Bahman Hospital,
Bahrain Defence Force Royal Medical Services,
Bahrain Pharma,
Bahrain Specialist Hospital,
Bahrami Children's Hospital,
Bahri Pharmaceuticals,
Bahteem Specialized Hospital,
Bakhtar Bioshimi Co,
Balder Industria Farmaceutica Ltda,
Baliarda S.A.,
Balm-Labor Industria Farmaceutica Ltda,
Balneario Camboriu Heart Hospital,
Balsam Pharmaceutical Company,
Bandar-e Abbas University of Medical Sciences,
Banha Fever Hospital,
Bank of Sorocaba Eye,
Banon IVF center Egypt,
Banoon Center for Assisted Reproduction & Obstetric & Gynecology,
Baqiyatallah Hospital,
Baqiyatallah Medical Sciences University,
Baqiyatallah Research Center for Gastroenterology and Liver Diseases,
Bar Ilan Research & Development Company Ltd,
Bar-Ilan University,
Barakat Pharmaceutical Group Co,
Barakat Pharmaceutical Industries,
Barau Dikko Teaching Hospital,
Barc SA,
BARcure (Inactive),
Bariatric Surgery Clinic,
Barij Essence Pharmaceutical Company,
Baroque Medical,
Barosalud,
Barra Dor Hospital,
Barretos Cancer Hospital,
Barz IVF Center for Infertility Treatment and Embryo Research,
Barzilai Medical Center,
Base Hospital of Itabuna,
Base Hospital of Sao Jose do Rio Preto,
Base Hospital of the Federal District,
Bashir Hamza Children's Hospital,
Basir Eye Center,
Batalo Pharmaceutical Ltd,
Batroun Hospital,
Batswadi Pharmaceuticals (Pty) Ltd,
Batterjee Medical College,
Batterjee Pharmaceutical Factory,
Bauru School of Dentistry,
Bauru State Hospital,
Bausch & Lomb South Africa Pty Ltd,
Baxshin Hospital,
Baxter Healthcare Distribution Ltd,
Baxter Hospitalar Ltda,
Bay Hospital,
Bayer (Pty) Ltd,
Bayer Israel Ltd,
Bayer SA (Brazil),
Bayer SA (Peru),
Bayero University Kano,
Bayerpaul Group,
Baylor College of Medicine Children's Foundation Uganda,
Bazelet Group Ltd,
BCBF Participacoes SA,
BCC Pharmaceuticals Pty Ltd,
BCN Plc,
Be Part Yoluntu Center,
Be-Tabs Pharmaceuticals (Proprietary) Ltd,
Beammed Ltd.,
Beaufour Ipsen Farmaceutica Ltd,
Beaufour Ipsen Pharma,
Beckman Coulter Israel Ltd,
Beer Yaakov Mental Health Center,
Beer Yaakov-Ness Ziona Mental Health Center,
Beersheva Mental Health Center,
Befelatanana Maternity Centre Antananarivo,
Behbood Sanat Darman Co,
Behdashtkar company,
Behestan Darou,
Behin Tamin Rosamed Co,
Behman Hospital,
Behsa Pharmaceutical Co,
Behta Daru Afarinesh Pharmaceutical Co,
Behvarzan Manufactory,
Behvazan Pharmaceutical Company,
Beier Drawtex Healthcare (Pty) Ltd,
Beige Holdings Ltd,
Beilinson Medical Center (Inactive),
Beirut Arab University,
Beirut Eye Specialist Hospital,
Beker Plc,
Beker Produtos Farmaco Hospitalares Ltda,
Belfar Ltda,
Belgrano Adventist Clinic,
Belkin Laser Ltd,
Bellstraat Hospital,
Belo Horizonte Evangelical Hospital,
Belo Horizonte Holy House of Mercy,
Bem-Estar Familiar no Brasil,
Ben-Gurion University of the Negev,
Beneficencia Portuguesa Hospital of Sao Paulo,
Benguela General Hospital,
Benha University,
Beni-Suef University,
Benin Clinical Research Institute,
Benisek Ascarza,
Benisuef University Hospital,
Benjamin Guimaraes Foundation,
Benmed Hospital,
Benta Pharma Industries,
Benta Trading,
Bento Ferreira Medical Center,
Bento Goncalves Municipality,
Benue State Ministry of Health,
Benue State University,
Beresan Darou Co,
Bermuda Hospitals Board,
Bernardo O'Higgins University,
Besat Hospital,
Besins Healthcare Brazil,
Bessone Clinic,
Best Naturals Co,
Beta-O2 Technologies Ltd,
Beta-Stim Ltd,
Betalin Therapeutics Ltd,
Bethlehem Arab Society for Rehabilitation,
Bethlehem University,
Better Access to Healthcare,
Beyond Parma 2014 Ltd,
BGN Technologies Ltd,
Bial - America Latina SA,
Bicentenario Clinic,
Bienvenido a Coomeva EPS SA,
Bikur Cholim Hospital,
Bikurofe Ltd,
Bina Eye Hospital,
Bingham University,
Bio Magnetics Ltd,
Bio Manguinhos and Fiocruz,
Bio Pharma Egypt SAE,
Bio Sanas Medical Services,
Bio Swiss (Pty) Ltd.,
AbbVie Canda,
ActeaVentures,
Alfred E. Tiefenbacher,
AOP Orphan Pharmaceuticals,
Arbor Pharma,
BERNINA Bioinvest,
Biogen,
BioNova,
BNC Korea,
CellmAbs,
CenPonts,
Duality Biologics,
Engrail Therapeutics,
Erkim Ilac,
Helsinn,
Helsinn Healthcare,
HLB,
IAG,
Inven2,
Invest Puerto Rico,
Israel Biotech Fund,
ITOCHU Corporation,
J&J Innovation,
Janssen Pharmaceutica nv,
Kelun Group,
Kern Pharma,
KPMG,
Liberi Group,
Lilly Asia Ventures,
MorphoSys,
National Institute of Health Research,
NovaQuest Capital,
Novo Nordisk,
Oasmia,
OBN,
Oncode Institute,
Orion Corporation,
pH Pharma,
Pharmaceutical buyers,
Pharmacosmos,
PharmaVentures,
Pharmaxia,
PPRS,
Rejuveron Life Sciences,
Sage Healthcare,
SAJA Pharma,
Sanwa Kagaku Kenkyusho,
SC Lancet,
Shanghai Allist,
Shanghai Haiyan,
Shanghai Pharmaceuticals Holding,
Sihuan Pharma,
Simcere Pharmaceutical Group,
Takanawa,
University of Texas Anderson Cancer Center,
Xuanzhu,
YD Life Science,
AstraZeneca Canda,
Enzychem,
Zydus Cadila,
Ridgeback?,
